ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios;;;;
6207;1;17;0;48.0;415;;21;4;0;4;5;;;;
6207;0;13;0;52.0;446;;18;3;0;4;7;;;;
6209;1;10;0;41.0;337;;17;2;0;0;3;;;;
6209;0;16;0;59.0;457;;16;4;0;0;4;;;;
6202;1;13;0;37.0;347;;8;2;0;3;2;;;;
6202;0;8;0;63.0;568;;11;2;0;0;6;;;;
6208;1;16;0;57.0;553;;16;2;0;1;4;;;;
6208;0;12;0;43.0;417;;12;4;0;1;5;;;;
6204;1;8;0;49.0;331;;20;1;0;0;5;;;;
6204;0;10;0;51.0;321;;13;1;0;2;7;;;;
6212;1;9;0;45.0;402;;14;3;0;0;3;;;;
6212;0;9;0;55.0;475;;11;1;0;1;8;;;;
6213;1;9;0;47.0;390;;10;2;0;1;7;;;;
6213;0;9;0;53.0;458;;16;3;1;1;4;;;;
6215;1;21;0;52.0;370;;12;3;0;8;6;;;;
6215;0;8;0;48.0;343;;22;4;1;0;6;;;;
6210;1;17;0;55.0;507;;6;1;0;0;12;;;;
6210;0;2;0;45.0;450;;16;3;0;0;1;;;;
6216;1;15;0;52.0;376;;18;3;0;1;6;;;;
6216;0;7;0;48.0;356;;18;4;1;0;6;;;;
6214;1;17;0;60.0;465;;20;6;0;0;8;;;;
6214;0;8;0;40.0;315;;14;3;2;0;8;;;;
6211;1;15;0;57.0;491;;11;2;0;2;9;;;;
6211;0;10;0;43.0;391;;8;1;0;4;4;;;;
6219;1;14;0;63.0;539;;13;1;0;3;4;;;;
6219;0;4;0;37.0;318;;6;1;0;1;1;;;;
6218;1;14;0;33.0;298;;10;1;0;0;8;;;;
6218;0;8;0;67.0;627;;10;2;0;3;9;;;;
6217;1;24;0;60.0;563;;10;2;0;1;12;;;;
6217;0;9;0;40.0;413;;12;3;0;2;3;;;;
6221;1;20;0;56.0;389;;12;3;0;1;7;;;;
6221;0;13;0;44.0;323;;19;1;0;0;3;;;;
6220;1;13;0;63.0;502;;10;1;1;2;11;;;;
6220;0;8;0;37.0;307;;13;1;0;3;4;;;;
6222;1;5;0;66.0;636;;4;1;0;0;7;;;;
6222;0;14;0;34.0;339;;4;0;0;1;8;;;;
6229;1;12;0;38.0;300;;18;2;0;0;3;;;;
6229;0;21;0;62.0;466;;15;2;0;4;6;;;;
6226;1;13;0;36.0;282;;15;0;0;5;8;;;;
6226;0;10;0;64.0;546;;8;1;0;1;0;;;;
6227;1;19;0;58.0;442;;14;1;0;1;3;;;;
6227;0;5;0;42.0;330;;18;1;1;1;2;;;;
